p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
4397,275,156,399,234,61559,61559,61559 79147 219851 422113 430907 483671 721109 879401 923371 958547 1002517 1538951 1697243 1776389 2092973 2277647 2347999 2356793 2506291 2567849 2831669 2884433 3033931 3324133 3359309 3429661 3543983 3640717 3913331 3992477 4256297 4300267 4326649 4432177 4484941 4652027 4731173 4915847 4968611 4994993 5038963 5100521 5311577 5487457 5496251 5540221 5760071 5804041 5865599 5891981 6199771 6314093 6525149 6832939 6841733 6938467 7017613 7070377 7096759 7149523 7184699 7211081 7386961 7897013 7993747 8283949 8556563 8600533 8653297 8662091 9101791 9189731 9233701 9268877 9348023 9453551 9523903 9611843 9743753 10025161 10051543 10157071 10324157 10394509 10447273 10456067 10482449 10500037 10587977 10904561 11062853 11185969 11608081 11669639 11827931 11933459 11951047 11959841 12162103 12294013 12434717 12505069 12566627 12610597 12619391 12724919 12909593 13006327 13410851 13586731 13665877 13912109 14008843 14114371 14228693 14466131 14598041 14668393 14703569 14756333 14773921 14853067 15257591 15363119 15468647 15802819 15943523 15961111 16040257 16128197 16207343 16260107 16304077 16418399 16515133 16550309 16734983 16858099 16919657 17341769 17473679 17517649 17649559 17711117 17763881 17807851 17843027 18071671 18335491 18441019 18546547 18713633 18836749 19082981 19100569 19153333 19549063 19610621 19637003 19953587 20006351 20375699 20560373 20639519 20657107 20789017 21035249 21131983 21404597 21430979 21483743 21527713 21580477 21606859 21747563 21932237 22028971 22143293 22240027 22486259 22644551 22794049 22820431 22934753 23163397 23277719 23321689 23374453 23778977 23875711 24086767 24332999 24359381 24429733 24438527 24570437 24693553 24746317 24887021 24966167 25089283 25273957 25405867 25485013 25493807 25669687 25722451 25827979 25836773 26153357 26206121 26355619 26364413 26575469 26601851 26645821 26751349 26839289 26892053 26936023 26971199 27041551 27815423 27859393 27991303 28000097 28123213 28175977 28307887 28334269 28580501 28703617 28738793 28914673
4409,280,171,422,258,8819,8819,8819 105817 564353 696623 740713 767167 793621 846529 978799 1031707 1066979 1225703 1490243 1596059 1807691 1851781 1931143 1939961 2327953 2336771 2469041 2486677 2513131 2707127 3077483 3342023 3412567 3544837 3571291 3606563 3633017 3791741 3835831 3871103 4073917 4162097 4188551 4285549 4312003 4364911 4400183 4691177 4735267 4814629 4823447 4929263 4946899 5026261 5061533 5079169 5617067 5696429 5766973 5819881 6031513 6163783 6251963 6401869 6410687 6437141 6587047 6648773 6692863 6798679 6851587 6966221 7089673 7098491 7151399 7177853 7310123 7336577 7415939 7865657 8042017 8200741 8421191 8518189 8650459 8685731 8729821 8870909 9135449 9179539 9320627 9876161 9929069 10193609 10237699 10264153 10325879 10749143 10846141 10907867 10934321 10951957 11057773 11172407 11190043 11295859 11481037 11560399 11586853 11913119 12089479 12230567 12301111 12362837 12468653 12600923 12918371 13041823 13130003 13156457 13279909 13288727 13332817 13526813 13570903 13597357 13685537 13711991 14029439 14082347 14099983 14426249 14496793 14629063 14637881 14681971 14734879 14743697 14920057 15114053 15140507 15166961 15184597 15263959 15484409 15510863 15554953 15607861 15748949 15907673 16004671 16136941 16198667 16242757 16410299 16542569 16965833 16983469 17124557 17203919 17415551 17653637 17759453 17785907 17918177 17962267 17988721 18288533 18394349 18517801 18526619 18570709 18605981 18870521 18888157 18976337 19390783 19637687 19769957 19946317 20113859 20378399 20563577 20695847 20722301 20766391 20986841 21030931 21066203 21163201 21224927 21242563 21383651 21507103 21595283 21612919 21621737 21665827 22089091 22221361 22327177 22406539 22591717 22706351 22856257 23076707 23235431 23279521 23288339 23314793 23341247 23579333 23711603 23817419 23914417 24002597 24020233 24073141 24240683 24258319 24575767 24743309 24866761 24919669 25263571 25298843 25351751 25563383 25607473 25660381 25722107 25977829 26013101 26110099 26198279 26251187 26489273 26533363 26542181 26559817 26647997 26806721 26938991 27115351 27177077 27203531 27300529 27415163 27459253 27520979 27679703 27697339 27732611 28314599 28358689 28517413 28605593 28632047 28711409 28781953 28870133 28887769 29055311 29134673
4421,293,181,415,260,79579,79579,79579 132631 212209 265261 353681 433259 450943 477469 565889 618941 645467 778097 937253 963779 1326301 1379353 1405879 1467773 1618087 1671139 1679981 1733033 1812611 1856821 1936399 2015977 2069029 2104397 2148607 2307763 2440393 2502287 2546497 2573023 2599549 2732179 2917861 2997439 3103543 3138911 3342277 3448381 3589853 3695957 4058479 4093847 4164583 4244161 4359107 4456369 4465211 4597841 4783523 4863101 5048783 5092993 5154887 5172571 5384779 5420147 5526251 5650039 5703091 5711933 6047929 6100981 6136349 6268979 6313189 6419293 6631501 6658027 6843709 6896761 7303493 7330019 7427281 7453807 7559911 7612963 7648331 7807487 7957801 7993169 8010853 8046221 8170009 8249587 8355691 8497163 8541373 8567899 8603267 8620951 8735897 8753581 8833159 8868527 9160313 9177997 9231049 9505151 9549361 9602413 9796937 9947251 10000303 10221353 10247879 10424719 10433561 10689979 11096711 11229341 11353129 11415023 11618389 11697967 11857123 12104699 12201961 12281539 12290381 12449537 12626377 12635219 12732481 13033109 13139213 13395631 13528261 13554787 13581313 13660891 13740469 13775837 14138359 14492039 14509723 14615827 14624669 14677721 14863403 15040243 15066769 15172873 15199399 15287819 15500027 15606131 15632657 15968653 16163177 16189703 16313491 16401911 16446121 16472647 16481489 16525699 16561067 16631803 16711381 16799801 16844011 17118113 17162323 17454109 17666317 17887367 18090733 18355993 18470939 18568201 18594727 18815777 18948407 19001459 19399349 19417033 19523137 19682293 19770713 19788397 20009447 20248181 20371969 20425021 20433863 20584177 20646071 21008593 21335747 21379957 21388799 21671743 21760163 21786689 21919319 21998897 22051949 22290683 22555943 22679731 22821203 22980359 23112989 23289829 23342881 23351723 23457827 23608141 23829191 23873401 23988347 24085609 24147503 24227081 24359711 24483499 24492341 24828337 24987493 25075913 25332331 25420751 25447277 25544539 25579907 25756747 25818641 25871693 25951271 26004323 26287267 26340319 26402213 26685157 26711683 26747051 26817787 26870839 27144941 27374833 27542831 27666619 27993773 28250191 28365137 28382821 28391663 28515451 28568503 28595029 28683449 28922183 29001761 29054813 29160917 29213969
4423,284,187,414,261,26539,26539,26539 70769 150383 265381 318457 495377 548453 796141 813833 866909 999599 1194211 1264979 1344593 1433053 1556897 1565743 1592281 1884199 1910737 1963813 2008043 2034581 2176117 2255731 2361883 2414959 2521111 2538803 2653801 2786491 2839567 2857259 2936873 2972257 3078409 3343789 3370327 4007239 4051469 4086853 4263773 4290311 4378771 4396463 4405309 4564537 4582229 4776841 4882993 5139527 5227987 5466829 5572981 5617211 5723363 5776439 5811823 6024127 6121433 6209893 6333737 6546041 6607963 6767191 6944111 7129877 7138723 7209491 7368719 7448333 7457179 7474871 7616407 7740251 7846403 8014477 8058707 8111783 8359471 8465623 8492161 8651389 8775233 8934461 9129073 9252917 9305993 9341377 9359069 9650987 9730601 9783677 9951751 9978289 10234823 10854043 10898273 10924811 11163653 11375957 11437879 11455571 11597107 11650183 11729797 11774027 11827103 11880179 11942101 11968639 12119021 12278249 12340171 12384401 12393247 12632089 12676319 12809009 12835547 12844393 12924007 13003621 13030159 13269001 13339769 13419383 13445921 13578611 13684763 13870529 13976681 14038603 14082833 14135909 14427827 14480903 14489749 14569363 14693207 14755129 15153199 15259351 15356657 15409733 15445117 15630883 15683959 15834341 15967031 15993569 16082029 16188181 16373947 16603943 16612789 16736633 16789709 16948937 16984321 17028551 17090473 17143549 17293931 17302777 17320469 17532773 17541619 17647771 17700847 17913151 17966227 18249299 18275837 18284683 18311221 18381989 18576601 18753521 18868519 18886211 18912749 18939287 18948133 19151591 19240051 19346203 19708889 19841579 19947731 20009653 20053883 20062729 20239649 20664257 20796947 20885407 21195017 21248093 21389629 21655009 21761161 21814237 21920389 21964619 21991157 22026541 22044233 22398073 22477687 22495379 23061523 23238443 23459593 23486131 24379577 24441499 24698033 24706879 24724571 24733417 24830723 24963413 25043027 25096103 25104949 25255331 25281869 25370329 25476481 25759553 25786091 25971857 26033779 26051471 26113393 26343389 26378773 26644153 26856457 26953763 27068761 27201451 27351833 27378371 27431447 27537599 27882593 27997591 28130281 28201049 28501813 28528351 28714117 28731809 28820269 28864499 28899883 29085649 29156417 29165263
4441,298,159,416,228,26647,26647,26647 293107 346399 452983 577331 737207 852673 985903 1012549 1136897 1412239 1509941 1643171 1669817 1723109 2078389 2176091 2256029 2291557 2389259 2451433 2469197 2531371 2824477 2895533 3002117 3028763 3064291 3295223 3410689 3463981 3543919 3650503 3721559 3757087 3783733 3810379 3890317 3934727 4156777 4210069 4263361 4343299 4556467 4716343 4893983 5142679 5187089 5240381 5275909 5320319 5373611 5400257 5640071 5675599 6066407 6199637 6332867 6439451 6581563 6608209 6714793 6999017 7007899 7185539 7460881 7674049 7798397 8260261 8304671 8313553 8393491 8491193 8873119 8970821 8979703 9237281 9246163 9290573 9370511 9485977 9796847 9859021 9912313 10036661 10063307 10116599 10258711 10303121 10338649 10356413 10489643 10844923 11457781 11537719 11777533 11804179 11910763 11955173 12061757 12177223 12283807 12310453 12354863 12470329 12594677 12861137 12994367 13056541 13243063 13323001 13527287 13616107 13642753 13820393 13847039 13900331 13926977 14033561 14175673 14220083 14255611 14602009 14832941 15134929 15321451 15445799 15499091 15587911 15632321 15685613 15765551 15907663 15978719 16307353 16440583 16520521 16751453 16973503 17257727 17266609 17613007 17657417 17710709 18012697 18110399 18119281 18172573 18323567 18465679 18545617 18838723 19051891 19105183 19122947 19185121 19416053 19442699 19451581 19975619 19984501 20197669 20304253 20330899 20348663 20384191 20517421 20570713 20641769 20677297 20695061 21103633 21254627 21494441 21929659 21982951 22116181 22187237 22276057 22693511 22729039 22746803 22808977 22906679 23253077 23279723 23395189 23528419 23608357 23741587 24034693 24105749 24292271 24407737 24585377 24594259 24647551 24674197 24771899 24985067 25118297 25544633 25571279 25677863 25757801 25926559 25970969 25979851 26113081 26193019 26423951 26699293 26876933 27312151 27578611 27782897 27845071 27889481 27916127 27942773 27969419 28022711 28511221 28635569 28715507 29088551 29124079 29434949
4447,273,148,394,225,26683,26683,26683 71153 204563 266821 311291 337973 346867 426913 533641 640369 693733 871613 1138433 1200691 1280737 1334101 1360783 1627603 1752119 1814377 1885529 2374699 2605943 2641519 2685989 2739353 2774929 2792717 2881657 3086219 3139583 3148477 3335251 3379721 3646541 3682117 3735481 3762163 3815527 3886679 4002301 4073453 4082347 4313591 4375849 4509259 4607093 4669351 4687139 4847231 5060687 5114051 5176309 5247461 5309719 5496493 5870041 6261377 6288059 6403681 6474833 6554879 6608243 6777229 7061837 7070731 7817827 7871191 7897873 7942343 8084647 8164693 8342573 8796167 8849531 8911789 8938471 8965153 9045199 9329807 9356489 9489899 9578839 9738931 9810083 9872341 10290359 10397087 10477133 10583861 10672801 10823999 11090819 11197547 11224229 11597777 11651141 11784551 11944643 12033583 12131417 12380449 12487177 12513859 12531647 12611693 12825149 12851831 12967453 13198697 13358789 13447729 13474411 13652291 13687867 13847959 14025839 14354917 14532797 14541691 14666207 14692889 14746253 14826299 14888557 15013073 15208741 15279893 15760169 15866897 16409431 16569523 16649569 16747403 16800767 16960859 17094269 17120951 17254361 17387771 17503393 17521181 18143761 18268277 18650719 18828599 19291087 19629059 19869197 19949243 19984819 20011501 20118229 20224957 20305003 20438413 20758597 20785279 20972053 21078781 21229979 21238873 21390071 21479011 21630209 21683573 21950393 22030439 22359517 22403987 22572973 22653019 22697489 22750853 23551313 23631359 23693617 23720299 24031589 24058271 24093847 24298409 24307303 24458501 24707533 24787579 24992141 25054399 25081081 25161127 25205597 25241173 25481311 25525781 25561357 26086103 26121679 26219513 26281771 26361817 26575273 26619743 26833199 26842093 26895457 26922139 27073337 27393521 27429097 27642553 27927161 28016101 28193981 28327391 28362967 28460801 28540847 28656469 28789879 28923289 28949971 28967759 29101169 29154533 29474717
4451,278,174,408,259,89021,89021,89021 115727 142433 213649 249257 275963 560827 569729 587533 694357 854593 1023731 1103849 1255183 1290791 1370909 1602361 1878323 2172089 2270011 2545973 2563777 2572679 2697307 2759621 2786327 2830837 2946563 3080093 3160211 3186917 3231427 3427271 3480683 3605311 3952489 3988097 4005901 4059313 4094921 4166137 4255157 4299667 4442099 4620139 4629041 4673551 4726963 4789277 4922807 5127553 5216573 5367907 5376809 5483633 5510339 5554849 5617163 5821909 5964341 5991047 6062263 6177989 6258107 6489559 6569677 6596383 6756619 6863443 6970267 7032581 7219523 7246229 7433171 7459877 7860467 7878271 8305567 8768471 8812981 8839687 8848589 8893099 8928707 9088943 9213571 9329297 9347101 9356003 9427219 9489533 9649769 9729887 9774397 9827809 9836711 10041457 10201693 10281811 10450949 10557773 10762519 10904951 11172011 11332247 11350051 11403463 11697229 11804053 12044407 12053309 12151231 12453899 12534017 12640841 12712057 12952411 13166059 13335197 13628963 13655669 13753591 13780297 14047357 14109671 14474653 14563673 14715007 14768419 14821831 15088891 15097793 15258029 15275833 15409363 15516187 15578501 15792149 15836659 15872267 15898973 16005797 16077013 16103719 16139327 16192739 16326269 16379681 16584427 16637839 16717957 16851487 16878193 16940507 16993919 17038429 17180861 17314391 17634863 17652667 17661569 17759491 17768393 17973139 18382631 18507259 18720907 18836633 18881143 18907849 18987967 19014673 19504283 19798049 20029501 20065109 20118521 20189737 20243149 20385581 20572523 20697151 20732759 20777269 20830681 20857387 20866289 20946407 21106643 21418213 21614057 21747587 21765391 21925627 22085863 22148177 22246099 22326217 22379629 22433041 22566571 22602179 22709003 22860337 22949357 23020573 23136299 23189711 23617007 24177833 24195637 24284657 24471599 24551717 24569521 24578423 24622933 24658541 24703051 24756463 24916699 24925601 25370701 25504231 25557643 26154077 26287607 26688197 26839531 26866237 27026473 27062081 27320239 27400357 27489377 27542789 27587299 27667417 27694123 28130321 28157027 28254949 28290557 28495303 28522009 28530911 28584323 28717853 28869187 28976011 28984913 29056129 29225267 29296483 29332091 29376601 29545739 29599151 29625857
4457,285,178,424,265,115883,115883,115883 160453 249593 374389 534841 570497 597239 615067 695293 918143 935971 1025111 1096423 1105337 1310359 1319273 1399499 1551037 1631263 1666919 1818457 1845199 1854113 2273071 2353297 2433523 2567233 2656373 2674201 2834653 2843567 2897051 3021847 3244697 3298181 3431891 3556687 3904333 3939989 4394603 4662023 4715507 4768991 4786819 4920529 5214691 5348401 5375143 5410799 5544509 5865413 5909983 5972381 6097177 6106091 6239801 6266543 6373511 6614189 6712243 6721157 6801383 6979663 7113373 7461019 7469933 7487761 7657127 7728439 7835407 7862149 8245451 8370247 8423731 8486129 8530699 8584183 8637667 8646581 8807033 9119023 9261647 9332959 9555809 9760831 9867799 9921283 9930197 9956939 10135219 10322413 10358069 10456123 11160329 11178157 11204899 11427749 11454491 11472319 11534717 11588201 11606029 12114127 12149783 12194353 12274579 12390461 12461773 12764849 12791591 12969871 13103581 13139237 13272947 13344259 13353173 13477969 13540367 13665163 13754303 13905841 13986067 14200003 14253487 14333713 14422853 14467423 14610047 14654617 14708101 14815069 14904209 14948779 15002263 15082489 15412307 15483619 15510361 15537103 15751039 16027373 16045201 16508729 16535471 16687009 16883117 17016827 17088139 17275333 17382301 17462527 17605151 17631893 17685377 17712119 17729947 17872571 17890399 17943883 17979539 18086507 18184561 18318271 18353927 18434153 18451981 18648089 18808541 18933337 18942251 19120531 19147273 19156187 19200757 19414693 19450349 19762339 19851479 19958447 20083243 20386319 20439803 20618083 20725051 20814191 20894417 21081611 21215321 21242063 21286633 21366859 21473827 21509483 21616451 21723419 21750161 21830387 21883871 21910613 21964097 22365227 22391969 22436539 22944637 22953551 22998121 23060519 23078347 23372509 23568617 23746897 23755811 23782553 23827123 24130199 24281737 24361963 24397619 24504587 24558071 24575899 24638297 24709609 24718523 24905717 24985943 25092911 25110739 25306847 25378159 25440557 25832773 25868429 26028881 26180419 26233903 26242817 26456753 26768743 26822227 27045077 27312497 27339239 27579917 27606659 27793853 27874079 27981047 28141499 28328693 28426747 28435661 28453489 28542629 28569371 28649597 28694167 28774393 28810049 28836791 29264663 29309233 29318147 29442943 29612309
4463,284,176,417,265,89261,89261,89261 276707 401671 455227 669451 731933 758711 776563 910453 937231 964009 1187159 1454939 1472791 1499569 1606681 1633459 1669163 1794127 1829831 1874461 2070833 2142241 2285057 2329687 2597467 2606393 2731357 2784913 2900951 2954507 3133027 3347251 3374029 3641809 3704291 3722143 3731069 3856033 3909589 3972071 4159517 4266629 4471927 4579039 4748633 4882523 4909301 4936079 5016413 5087821 5284193 5382379 5444861 5498417 5596603 5891161 6087533 6158941 6185719 6292831 6346387 6408869 6533833 6587389 6649871 6881947 6944429 7212209 7230061 7319321 7390729 7524619 7792399 7819177 8060179 8390441 8435071 8568961 8711777 8729629 8836741 9193781 9381227 9479413 9515117 9532969 9693637 9890009 10014973 10202419 10336309 10416643 10532681 10639793 10952203 11086093 11139649 11202131 11255687 11336021 11353873 11380651 11469911 11496689 11514541 11541319 11568097 11657357 11809099 11942989 12032249 12103657 12166139 12246473 12558883 12639217 12996257 13210481 13228333 13255111 13264037 13281889 13308667 13317593 13478261 13710337 13746041 13844227 14013821 14031673 14040599 14147711 14335157 14388713 14415491 14594011 14754679 14781457 14951051 14977829 15263461 15379499 15513389 15807947 16209617 16289951 16655917 16691621 17120069 17227181 17521739 17628851 17700259 17914483 17950187 18101929 18137633 18262597 18325079 18432191 18450043 18592859 18744601 18932047 18994529 19128419 19146271 19440829 19467607 19530089 19574719 19637201 19663979 19744313 19842499 20003167 20083501 20190613 20279873 20306651 20467319 20574431 20645839 20806507 20868989 21136769 21315289 21377771 21645551 21699107 21743737 21824071 22252519 22413187 22654189 22689893 22716671 22868413 23011229 23029081 23038007 23252231 23323639 23403973 23430751 23564641 23832421 23993089 24082349 24260869 24341203 24394759 24430463 24501871 24591131 24644687 24698243 24751799 24823207 24966023 24992801 25010653 25090987 25260581 25581917 25680103 25867549 25903253 25974661 26224589 26349553 26465591 26492369 26510221 26519147 26572703 26867261 26938669 27099337 27286783 27715231 27768787 27965159 28009789 28072271 28179383 28206161 28447163 28527497 28581053 28661387 28813129 28929167 29009501 29188021 29241577 29304059 29562913 29598617 29616469 29696803 29705729 29786063 29830693
4481,299,176,441,258,53773,53773,53773 116507 170279 268861 322633 349519 412253 519797 672151 681113 699037 815543 1075441 1084403 1111289 1129213 1191947 1236757 1245719 1299491 1424959 1568351 1666933 1702781 1747591 1801363 1828249 2043337 2150881 2177767 2321159 2365969 2428703 2554171 2634829 2643791 2670677 2715487 2805107 2876803 3235283 3441409 3495181 3638573 3764041 3817813 3925357 4014977 4032901 4068749 4194217 4337609 4382419 4552697 4758823 4893253 4955987 5144189 5224847 5493707 5780491 5995579 6085199 6165857 6264439 6407831 6667729 6775273 6811121 6882817 6945551 7026209 7044133 7079981 7286107 7402613 7420537 7537043 7644587 7671473 8155421 8334661 8469091 8522863 8720027 8988887 9033697 9177089 9275671 9329443 9419063 9553493 9571417 9661037 10037441 10109137 10171871 10243567 10404883 10619971 10655819 10673743 10709591 11050147 11059109 11543057 11560981 11614753 11785031 11910499 12125587 12268979 12349637 12376523 12421333 12484067 12645383 12672269 12941129 13039711 13290647 13317533 13362343 13478849 13604317 13720823 13873177 13882139 13926949 14195809 14679757 14733529 14742491 14930693 15002389 15056161 15136819 15378793 15405679 15495299 15593881 15620767 15674539 15764159 15817931 16033019 16113677 16409423 16669321 16678283 17126383 17260813 17377319 17690989 17699951 18013621 18040507 18130127 18291443 18318329 18416911 18587189 18856049 18936707 19008403 19071137 19169719 19232453 19304149 19519237 19581971 19707439 19761211 19922527 19985261 20030071 20173463 20281007 20325817 20379589 20388551 20567791 20872499 21186169 21401257 21490877 21508801 21589459 21643231 21652193 21697003 21965863 22073407 22136141 22163027 22718671 22933759 22969607 23077151 23211581 23292239 23337049 23390821 23534213 23659681 23910617 23964389 24009199 24062971 24098819 24520033 24654463 24788893 24851627 24896437 24959171 25012943 25030867 25165297 25219069 25353499 25523777 25550663 25577549 25944991 26088383 26115269 26169041 26428939 26464787 26670913 26805343 26886001 27101089 27325139 27459569 27782201 27916631 28042099 28051061 28077947 28095871 28310959 28364731 28373693 28499161 28714249 28768021 28803869 28956223 29126501 29332627 29467057 29744879 29852423 29924119 29933081 30058549
4483,289,187,420,263,98627,98627,98627 152423 242083 340709 457267 744179 806941 833839 968329 995227 1040057 1049023 1129717 1210411 1344901 1362833 1416629 1658711 1775269 1927691 2044249 2124943 2169773 2178739 2250467 2465651 2716699 2788427 2824291 2842223 2931883 3030509 3093271 3191897 3299489 3407081 3416047 3433979 3514673 3550537 3595367 3658129 3685027 3954007 3998837 4079531 4142293 4196089 4303681 4321613 4438171 4536797 4814743 4913369 5083723 5128553 5182349 5854799 5935493 5962391 6069983 6338963 6365861 6428623 6455521 6554147 6634841 6769331 6778297 6885889 6930719 7047277 7127971 7262461 7396951 7450747 7468679 7495577 7504543 7630067 7719727 7737659 7773523 7818353 7952843 7961809 8087333 8221823 8410109 8445973 8840477 9028763 9199117 9217049 9243947 9324641 9351539 9378437 9817771 9844669 10266071 10275037 10508153 10588847 10857827 10893691 11001283 11073011 11216467 11270263 11341991 11458549 11476481 11718563 11772359 11799257 11879951 11888917 11942713 12077203 12104101 12130999 12157897 12471707 12480673 12507571 12803449 13072429 13180021 13197953 13341409 13386239 13449001 13556593 13735913 13852471 13951097 14013859 14031791 14273873 14408363 14462159 14578717 14713207 14838731 15035983 15062881 15161507 15224269 15304963 15331861 15493249 15538079 15645671 15735331 15914651 16022243 16049141 16156733 16192597 16425713 16909877 16972639 17044367 17134027 17187823 17232653 17241619 17259551 17501633 17591293 17618191 17851307 17860273 18120287 18362369 18577553 18721009 18792737 18981023 19016887 19303799 19393459 19635541 19689337 19743133 20065909 20648699 20729393 20819053 20863883 20890781 20980441 21114931 21132863 21401843 21455639 21841177 22020497 22262579 22298443 22397069 22863301 22908131 23159179 23177111 23186077 23239873 23320567 23472989 23553683 23688173 24208201 24261997 24396487 24477181 24530977 24665467 24773059 24898583 25086869 25328951 25355849 25463441 25526203 25705523 25822081 25956571 26010367 26064163 26135891 26279347 26333143 26673851 26736613 26763511 27166981 27193879 27462859 27588383 27731839 27911159 28162207 28216003 28422221 28673269 28798793 29076739 29157433 29238127 29291923 29453311 29471243 29498141 29614699 29641597 29794019 29910577 29964373 30018169 30036101 30062999 30098863
4493,277,180,415,260,26959,26959,26959 62903 116819 359441 646993 871643 1006433 1060349 1141223 1222097 1276013 1401817 1410803 1599509 1626467 1752271 1842131 2003879 2075767 2246501 2273459 2587969 2938423 3109157 3342793 3351779 3477583 3531499 3702233 3729191 3828037 3881953 4043701 4097617 4133561 4151533 4178491 4286323 4340239 4421113 4510973 4582861 4699679 4717651 4744609 4771567 4861427 4987231 5211881 5310727 5535377 5553349 5795971 5858873 6020621 6047579 6317159 6469921 6523837 6559781 6586739 6739501 6748487 6793417 6937193 7098941 7170829 7251703 7287647 7440409 7476353 7548241 7557227 7952611 8042471 8060443 8231177 8285093 8383939 8500757 8518729 8581631 8689463 8743379 8815267 8824253 8923099 9120791 9192679 9273553 9327469 9354427 9435301 9489217 9677923 9767783 10270999 10297957 10333901 10468691 10495649 10513621 10576523 10675369 10873061 11052781 11160613 11645857 11681801 11699773 11726731 11816591 12005297 12086171 12194003 12292849 12355751 12589387 12598373 12670261 12778093 12948827 13074631 13191449 13218407 13263337 13479001 13541903 13595819 13775539 13856413 13910329 13991203 14018161 14206867 14422531 14449489 14476447 14701097 14719069 14916761 14961691 15186341 15294173 15500851 15608683 15770431 15914207 15968123 16147843 16174801 16336549 16534241 16552213 16633087 16687003 16803821 16902667 16938611 16983541 17172247 17369939 17576617 17639519 17666477 18304483 18313469 18520147 18798713 19005391 19059307 19149167 19167139 19230041 19391789 19652383 19706299 19921963 19948921 19957907 20200529 20308361 20335319 20649829 20739689 21036227 21054199 21090143 21144059 21269863 21494513 21575387 21710177 21728149 21835981 21970771 21979757 22213393 22267309 22294267 22518917 22536889 22563847 22896329 22923287 22977203 23004161 23480419 23947691 24019579 24046537 24109439 24154369 24396991 24459893 24513809 24531781 24540767 24648599 24774403 24783389 24963109 25538213 25664017 25834751 25879681 26122303 26149261 26176219 26293037 26373911 26508701 26562617 26607547 26823211 26850169 27425273 27748769 27766741 27910517 28126181 28171111 28287929 28332859 28503593 28548523 28854047 28961879 28979851 29087683 29258417 29339291 29447123 29501039 29519011 29653801 29815549 29932367 30112087 30192961
4507,278,156,420,245,27043,27043,27043 135211 180281 531827 694079 784219 991541 1018583 1054639 1126751 1289003 1460269 1640549 1829843 2019137 2163361 2325613 2343641 2424767 2451809 2731243 2830397 2866453 2884481 3046733 3245041 3272083 3371237 3533489 3776867 3857993 3966161 4209539 4371791 4434889 4488973 4570099 4597141 4750379 4804463 4813477 4993757 5002771 5128967 5183051 5264177 5453471 5534597 5678821 5696849 5723891 6084451 6111493 6192619 6237689 6426983 6435997 6940781 6967823 7003879 7211201 7301341 7517677 7616831 7643873 7788097 7833167 8319923 8383021 9032029 9104141 9320477 9599911 9762163 9807233 10158779 10212863 10221877 10275961 10537367 10564409 10789759 10834829 10897927 11114263 11132291 11384683 11465809 11564963 11573977 11655103 11673131 11790313 11808341 12006649 12033691 12241013 12430307 12917063 12926077 13025231 13268609 13277623 13331707 13466917 13511987 13566071 13683253 13782407 13944659 14034799 14088883 14305219 14323247 14350289 14404373 14647751 14710849 14782961 15008311 15026339 15251689 15459011 15522109 15567179 15675347 15756473 15891683 15927739 16035907 16117033 16171117 16243229 16297313 16351397 16468579 16495621 16711957 17117587 17442091 17487161 17649413 18055043 18109127 18550813 18604897 18631939 19515311 19605451 19713619 19740661 19767703 19821787 19984039 20002067 20029109 20326571 20362627 20461781 20488823 20678117 20894453 20930509 20948537 21002621 21119803 21218957 21354167 21381209 21408251 21570503 21624587 21660643 21849937 22039231 22174441 22201483 22336693 22390777 22444861 22580071 22733309 22742323 22760351 22985701 23111897 23165981 23202037 23499499 23905129 23932171 24058367 24220619 24229633 24500053 24599207 24635263 24761459 24851599 24923711 25058921 25094977 25221173 25311313 25365397 25554691 25572719 25870181 25987363 26041447 26122573 26519189 26654399 26744539 26798623 26933833 27014959 27069043 27150169 27195239 27330449 27519743 27709037 27844247 27853261 27961429 28015513 28033541 28069597 28141709 28249877 28331003 28340017 28601423 28709591 28817759 28880857 29043109 29097193 29196347 29277473 29412683 29638033 29719159 30305069
