p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
701,62,44,87,56,12619,12619,12619 22433 29443 35051 42061 54679 75709 85523 88327 96739 109357 123377 127583 134593 144407 147211 152819 165437 182261 197683 214507 215909 222919 231331 256567 260773 266381 270587 277597 281803 329471 340687 344893 349099 363119 382747 391159 399571 405179 412189 438827 471073 476681 489299 492103 497711 546781 567811 569213 590243 594449 615479 628097 630901 719227 729041
709,51,29,79,46,2837,2837,2837 12763 19853 38287 45377 59557 70901 85081 87917 97843 114859 121949 130457 148891 168743 187177 207029 221209 229717 236807 241061 272257 326141 327559 381443 398459 412639 432491 487793 509063 510481 518989 530333 555857 587053 604069 615413 629593 646609 650863 666461 676387 683477 696239 714673 744451
719,67,43,96,64,1439,1439,1439 17257 60397 81967 87719 92033 125107 135173 139487 168247 172561 182627 189817 208511 221453 225767 230081 237271 238709 245899 281849 286163 289039 307733 319237 332179 346559 359501 362377 372443 376757 381071 389699 409831 418459 454409 461599 470227 484607 491797 501863 509053 513367 519119 523433 532061 540689 552193 562259 573763 578077 582391 595333 634159 652853 664357 668671 681613 700307 734819 742009 743447 763579 772207
727,54,38,91,67,4363,4363,4363 11633 17449 34897 50891 63977 72701 78517 90149 98873 111959 126499 143947 152671 155579 174481 181751 186113 191929 207923 216647 225371 251543 344599 360593 366409 378041 396943 399851 404213 405667 421661 427477 449287 460919 462373 465281 479821 527803 543797 556883 578693 584509 587417 588871 591779 593233 609227 610681 617951 622313 623767 645577 658663 683381 702283 705191 724093 731363 732817 737179 740087 741541 745903 754627 780799 783707
733,65,45,91,62,7331,7331,7331 60107 68903 77699 83563 87961 96757 99689 117281 118747 131941 134873 143669 149533 158329 162727 170057 178853 192047 193513 200843 202309 209639 215503 224299 227231 250687 293201 301997 319589 323987 325453 378229 385559 389957 411947 417811 420743 435403 448597 473519 486713 521897 530693 532159 543887 571741 583469 596663 601061 611323 615721 624517 627449 631847 637711 645041 664099 706613 712477 730069 743263
739,64,45,89,61,2957,2957,2957 17737 22171 25127 42863 47297 69467 79813 84247 97549 106417 131543 135977 140411 155191 171449 193619 235003 242393 243871 251261 282299 291167 295601 305947 317771 335507 345853 357677 363589 376891 390193 415319 416797 419753 424187 452269 468527 496609 501043 508433 509911 523213 530603 535037 549817 570509 585289 594157 614849 623717 659189 685793 731611 747869 749347 752303 770039 771517 778907 798121
743,61,40,85,52,1487,1487,1487 19319 32693 40123 59441 75787 104021 106993 121853 130769 151573 153059 175349 179807 215471 240733 263023 267481 271939 277883 289771 291257 298687 304631 322463 343267 344753 365557 380417 398249 419053 424997 427969 442829 450259 478493 485923 491867 509699 512671 594401 601831 633037 643439 646411 735571 745973 768263 772721 802441 803927 821759
751,63,44,98,63,4507,4507,4507 9013 45061 52571 58579 61583 66089 76603 90121 99133 111149 147197 151703 187751 216289 219293 232811 264353 282377 304907 315421 319927 345461 346963 349967 351469 358979 372497 373999 381509 383011 405541 422063 432577 437083 450601 464119 467123 489653 500167 516689 518191 527203 539219 576769 584279 593291 615821 630841 635347 639853 644359 647363 692423 696929 728471 734479 737483 766021 809579 811081 820093 842623
757,63,44,93,62,12113,12113,12113 18169 27253 48449 63589 66617 72673 90841 95383 116579 118093 166541 189251 193793 202877 208933 231643 240727 245269 249811 257381 275549 277063 293717 308857 313399 330053 336109 339137 348221 363361 381529 389099 411809 422407 443603 452687 476911 479939 490537 499621 525359 535957 557153 585919 595003 611657 625283 626797 631339 634367 649507 658591 684329 688871 702497 749431 761543 776683 816047 838757 843299
761,69,47,92,61,1523,1523,1523 6089 27397 31963 36529 50227 51749 59359 65447 68491 82189 105019 118717 127849 164377 168943 182641 214603 219169 228301 257219 260263 264829 266351 289181 316577 321143 325709 342451 357671 362237 401809 403331 412463 415507 420073 442903 458123 479431 485519 494651 502261 517481 522047 529657 538789 575317 590537 645329 666637 668159 686423 689467 694033 767089 776221 777743 785353 800573 818837 827969
769,54,30,74,42,23071,23071,23071 36913 53831 78439 99971 106123 109199 129193 136883 175333 179947 183023 187637 192251 216859 226087 233777 252233 272227 298373 326057 346051 376811 386039 387577 390653 418337 510617 538301 553681 590593 621353 653651 676721 699791 752083 798223 805913 815141 833597 862819 876661
